title,genres,director,cast,keywords,description,movieId,release_year
The Love Heist,Action|Sci-Fi,George Miller,"Scarlett Johansson, Tom Cruise, Leonardo DiCaprio","rescue, revenge, fight, car chase","In this breathtaking tale, a main protagonist investigates a hidden empire that threatens to change everything they know.",119,2014
Chasing Deep Sea,Comedy,Todd Phillips,"Jim Carrey, Paul Rudd, Jonah Hill","buddy road trip, misunderstanding, high school, parody","In this gripping tale, a main protagonist discovers their deepest fears that threatens to change everything they know.",120,2013
Whispers of the Algorithm II,Thriller,Christopher Nolan,"Christian Bale, Ben Affleck, Leonardo DiCaprio","corruption, ticking clock, kidnapping, psychological","In this haunting tale, a main protagonist navigates a mysterious artifact that threatens to change everything they know.",121,1988
Shadow of the Artifact,Thriller,Denis Villeneuve,"Morgan Freeman, Christian Bale, Ben Affleck","psychological, conspiracy, ticking clock, hostage","In this breathtaking tale, a main protagonist battles their deepest fears that threatens to change everything they know.",122,1981
Diary of a Paris,Drama|Comedy|Romance,Martin Scorsese,"Tim Robbins, Brad Pitt, Matthew McConaughey","family struggle, hope, tragedy, friendship","In this breathtaking tale, a main protagonist confronts a mysterious artifact that threatens to change everything they know.",123,2023
Shadow of the Time II,Thriller|Romance|Sci-Fi,Denis Villeneuve,"Jodie Foster, Edward Norton, Ben Affleck","conspiracy, hostage, kidnapping, ticking clock","In this haunting tale, a main protagonist confronts a secret agent that threatens to change everything they know.",124,2005
Shadow of the High School,Thriller|Drama,Christopher Nolan,"Edward Norton, Ben Affleck, Christian Bale","conspiracy, kidnapping, serial killer, psychological","In this mysterious tale, a main protagonist uncovers a secret agent that threatens to change everything they know.",125,1993
Shadow of the Galaxies,Thriller|Fantasy,David Fincher,"Brad Pitt, Morgan Freeman, Leonardo DiCaprio","psychological, conspiracy, serial killer, kidnapping","In this spectacular tale, a main protagonist uncovers a forbidden romance that threatens to change everything they know.",126,2016
Hearts in Revenge,Romance|Action,Richard Linklater,"Ethan Hawke, Rachel McAdams, Kate Winslet","secret crush, destiny, relationship, forbidden love","In this dangerous tale, a main protagonist navigates a digital virtual world that threatens to change everything they know.",127,2007
The Last High School,Adventure|Mystery|Romance,George Lucas,"Ian McKellen, Harrison Ford, Orlando Bloom","ancient, wilderness, treasure hunt, quest","In this futuristic tale, a main protagonist escapes from a digital virtual world that threatens to change everything they know.",128,2021
Beyond the Artifact,Sci-Fi|Action|Comedy,Lana Wachowski,"Sigourney Weaver, Zoe Saldana, Ryan Gosling","cyborg, alien, time travel, simulation","In this haunting tale, a main protagonist travels to a mysterious artifact that threatens to change everything they know.",129,1997
The Last Empire II,Adventure|Sci-Fi,Steven Spielberg,"Johnny Depp, Tom Hanks, Daniel Radcliffe","survival, island, ancient, treasure hunt","In this unforgettable tale, a main protagonist escapes from their deepest fears that threatens to change everything they know.",130,1996
Secrets of the Symphony,Mystery|Horror,Denis Villeneuve,"Leonardo DiCaprio, Amy Adams, Robert Downey Jr.","secret identity, murder mystery, disappearance, conspiracy","In this futuristic tale, a main protagonist uncovers a hidden empire that threatens to change everything they know.",131,2000
The Shadows Equation,Sci-Fi,James Cameron,"Sandra Bullock, Mark Hamill, Matthew McConaughey","future, artificial intelligence, dystopia, time travel","In this dangerous tale, a main protagonist confronts their deepest fears that threatens to change everything they know.",132,1995
The Deep Sea Equation II,Sci-Fi|Horror|Romance,Lana Wachowski,"Mark Hamill, Keanu Reeves, Sigourney Weaver","future, space travel, dystopia, artificial intelligence","In this breathtaking tale, a main protagonist uncovers a secret agent that threatens to change everything they know.",133,1994
The Empire Heist,Action|Sci-Fi,George Miller,"Scarlett Johansson, Chris Hemsworth, Hugh Jackman","revenge, heist, explosion, rescue","In this unforgettable tale, a main protagonist navigates a secret agent that threatens to change everything they know.",134,2007
The Algorithm Project,Sci-Fi|Romance|Action,Lana Wachowski,"Matt Damon, Matthew McConaughey, Sigourney Weaver","alien, cyborg, simulation, artificial intelligence","In this dangerous tale, a main protagonist escapes from a post-apocalyptic wasteland that threatens to change everything they know.",135,1996
Beyond the Destiny,Sci-Fi|Action|Drama,James Cameron,"Matthew McConaughey, Ryan Gosling, Carrie Fisher","artificial intelligence, time travel, future, simulation","In this haunting tale, a main protagonist discovers a digital virtual world that threatens to change everything they know.",136,1990
The Time Equation,Sci-Fi,James Cameron,"Zoe Saldana, Sigourney Weaver, Matthew McConaughey","artificial intelligence, simulation, space travel, time travel","In this haunting tale, a main protagonist confronts a secret agent that threatens to change everything they know.",137,1993
Hearts in Algorithm II,Romance|Mystery|Sci-Fi,Marc Webb,"Ryan Gosling, Rachel McAdams, Hugh Grant","forbidden love, second chance, secret crush, destiny","In this breathtaking tale, a main protagonist confronts a hidden empire that threatens to change everything they know.",138,1997
Beyond the Shadows,Sci-Fi|Drama|Horror,Ridley Scott,"Matt Damon, Keanu Reeves, Sandra Bullock","time travel, simulation, alien, artificial intelligence","In this spectacular tale, a main protagonist discovers a deadly conspiracy that threatens to change everything they know.",139,2002
The Empire Escape,Action,Michael Bay,"Leonardo DiCaprio, Robert Downey Jr., Charlize Theron","car chase, martial arts, explosion, superhero","In this spectacular tale, a main protagonist navigates a digital virtual world that threatens to change everything they know.",140,1999
The High School Project,Sci-Fi,Lana Wachowski,"Matthew McConaughey, Carrie Fisher, Mark Hamill","cyborg, future, simulation, time travel","In this breathtaking tale, a main protagonist escapes from a digital virtual world that threatens to change everything they know.",141,2022
Diary of a Time II,Drama|Thriller,Frank Darabont,"Kate Winslet, Al Pacino, Robert De Niro","friendship, family struggle, historical events, tragedy","In this dangerous tale, a main protagonist discovers a hidden empire that threatens to change everything they know.",142,1982
The Destiny Project,Sci-Fi|Horror,James Cameron,"Mark Hamill, Ryan Gosling, Zoe Saldana","alien, cyborg, time travel, dystopia","In this unforgettable tale, a main protagonist confronts a mysterious artifact that threatens to change everything they know.",143,1980
Artifact Night,Horror,Wes Craven,"Ethan Hawke, Patrick Wilson, Florence Pugh","possession, survival horror, slasher, ghost","In this mysterious tale, a main protagonist battles a mysterious artifact that threatens to change everything they know.",144,2016
Hearts in Shadows,Romance|Comedy|Adventure,Marc Webb,"Hugh Grant, Julie Delpy, Kate Winslet","forbidden love, love story, second chance, secret crush","In this gripping tale, a main protagonist escapes from a deadly conspiracy that threatens to change everything they know.",145,2009
Diary of a Empire,Drama|Thriller|Fantasy,David Fincher,"Morgan Freeman, Kate Winslet, Brad Pitt","friendship, mental illness, betrayal, ambition","In this gripping tale, a main protagonist battles a deadly conspiracy that threatens to change everything they know.",146,2002
The Haunting Heist,Action,John Woo,"Charlize Theron, Leonardo DiCaprio, Keanu Reeves","martial arts, fight, explosion, rescue","In this haunting tale, a main protagonist investigates a digital virtual world that threatens to change everything they know.",147,1993
How to High School,Comedy,Edgar Wright,"Emma Stone, Jonah Hill, Paul Rudd","high school, misunderstanding, coming of age, satire","In this mysterious tale, a main protagonist battles a secret agent that threatens to change everything they know.",148,2012
Symphony Night,Horror|Sci-Fi,Wes Craven,"Vera Farmiga, Florence Pugh, Ethan Hawke","haunted house, survival horror, slasher, curse","In this futuristic tale, a main protagonist investigates a secret agent that threatens to change everything they know.",149,2009
Diary of a Revenge,Drama|Mystery,Francis Ford Coppola,"Al Pacino, Joaquin Phoenix, Matthew McConaughey","family struggle, ambition, historical events, mental illness","In this dangerous tale, a main protagonist uncovers a hidden empire that threatens to change everything they know.",150,2012
The Time Escape II,Action|Adventure|Thriller,John Woo,"Christian Bale, Scarlett Johansson, Tom Cruise","explosion, heist, superhero, revenge","In this dangerous tale, a main protagonist confronts a forbidden romance that threatens to change everything they know.",151,2016
Secrets of the Time II,Mystery|Sci-Fi,David Fincher,"Jake Gyllenhaal, Daniel Craig, Robert Downey Jr.","conspiracy, murder mystery, twist ending, secret identity","In this haunting tale, a main protagonist uncovers a forbidden romance that threatens to change everything they know.",152,2021
The Love Equation,Sci-Fi|Thriller|Comedy,Denis Villeneuve,"Ryan Gosling, Sigourney Weaver, Matt Damon","cyborg, space travel, alien, future","In this haunting tale, a main protagonist travels to a post-apocalyptic wasteland that threatens to change everything they know.",153,2016
The Empire Project II,Sci-Fi|Adventure|Drama,Ridley Scott,"Sandra Bullock, Keanu Reeves, Matthew McConaughey","time travel, simulation, artificial intelligence, cyborg","In this unforgettable tale, a main protagonist discovers a secret agent that threatens to change everything they know.",154,2001
Secrets of the Cyborg,Mystery|Horror,Rian Johnson,"Robert Downey Jr., Daniel Craig, Leonardo DiCaprio","detective, twist ending, puzzle, disappearance","In this unforgettable tale, a main protagonist confronts a mysterious artifact that threatens to change everything they know.",155,1975
Whispers of the Artifact,Thriller|Romance|Fantasy,Christopher Nolan,"Jake Gyllenhaal, Christian Bale, Edward Norton","corruption, kidnapping, ticking clock, hostage","In this breathtaking tale, a main protagonist discovers a hidden empire that threatens to change everything they know.",156,1998
Hearts in Haunting,Romance|Comedy,James Cameron,"Ryan Gosling, Leonardo DiCaprio, Hugh Grant","destiny, relationship, star-crossed lovers, forbidden love","In this gripping tale, a main protagonist battles a digital virtual world that threatens to change everything they know.",157,2021
Love in Symphony,Romance|Sci-Fi,Marc Webb,"Leonardo DiCaprio, Rachel McAdams, Kate Winslet","relationship, destiny, secret crush, forbidden love","In this spectacular tale, a main protagonist discovers a mysterious artifact that threatens to change everything they know.",158,2001
Hearts in Algorithm II,Romance,James Cameron,"Julia Roberts, Ryan Gosling, Julie Delpy","forbidden love, secret crush, star-crossed lovers, second chance","In this dangerous tale, a main protagonist battles a digital virtual world that threatens to change everything they know.",159,2024
