title,genres,director,cast,keywords,description,movieId,release_year,cleaned_director,cleaned_cast,cleaned_keywords,cleaned_genres,metadata_soup
Hearts in Love,Romance Horror,Marc Webb,"Ethan Hawke, Rachel McAdams, Kate Winslet","second chance, love story, relationship, destiny","In this unforgettable tale, a main protagonist travels to a mysterious artifact that threatens to change everything they know.",54,2019,marcwebb,ethanhawke rachelmcadams katewinslet,secondchance lovestory relationship destiny,romance horror,"romance horror marcwebb ethanhawke rachelmcadams katewinslet secondchance lovestory relationship destiny in this unforgettable tale, a main protagonist travels to a mysterious artifact that threatens to change everything they know."
Dimension Night,Horror Fantasy,Wes Craven,"Lupita Nyong'o, Patrick Wilson, Toni Collette","zombie, ghost, monster, curse","In this futuristic tale, a main protagonist falls in love with a hidden empire that threatens to change everything they know.",55,2024,wescraven,lupitanyong'o patrickwilson tonicollette,zombie ghost monster curse,horror fantasy,"horror fantasy wescraven lupitanyong'o patrickwilson tonicollette zombie ghost monster curse in this futuristic tale, a main protagonist falls in love with a hidden empire that threatens to change everything they know."
The Empire Project,Sci-Fi Fantasy Thriller,Denis Villeneuve,"Matt Damon, Carrie Fisher, Sigourney Weaver","future, time travel, artificial intelligence, dystopia","In this mysterious tale, a main protagonist navigates their deepest fears that threatens to change everything they know.",56,2003,denisvilleneuve,mattdamon carriefisher sigourneyweaver,future timetravel artificialintelligence dystopia,sci-fi fantasy thriller,"sci-fi fantasy thriller denisvilleneuve mattdamon carriefisher sigourneyweaver future timetravel artificialintelligence dystopia in this mysterious tale, a main protagonist navigates their deepest fears that threatens to change everything they know."
The Symphony Syndicate II,Crime,Independent Director,"Actor Beta, Actor Alpha","story, movie","In this mysterious tale, a main protagonist navigates a secret agent that threatens to change everything they know.",57,2016,independentdirector,actorbeta actoralpha,story movie,crime,"crime independentdirector actorbeta actoralpha story movie in this mysterious tale, a main protagonist navigates a secret agent that threatens to change everything they know."
Diary of a Wilderness,Drama Fantasy,Martin Scorsese,"Joaquin Phoenix, Kate Winslet, Brad Pitt","family struggle, hope, betrayal, tragedy","In this spectacular tale, a main protagonist confronts a hidden empire that threatens to change everything they know.",58,1982,martinscorsese,joaquinphoenix katewinslet bradpitt,familystruggle hope betrayal tragedy,drama fantasy,"drama fantasy martinscorsese joaquinphoenix katewinslet bradpitt familystruggle hope betrayal tragedy in this spectacular tale, a main protagonist confronts a hidden empire that threatens to change everything they know."
Chasing Symphony,Comedy Fantasy Adventure,Edgar Wright,"Will Ferrell, Paul Rudd, Steve Carell","coming of age, misunderstanding, satire, high school","In this gripping tale, a main protagonist confronts a mysterious artifact that threatens to change everything they know.",59,1999,edgarwright,willferrell paulrudd stevecarell,comingofage misunderstanding satire highschool,comedy fantasy adventure,"comedy fantasy adventure edgarwright willferrell paulrudd stevecarell comingofage misunderstanding satire highschool in this gripping tale, a main protagonist confronts a mysterious artifact that threatens to change everything they know."
Hearts in High School,Romance,Marc Webb,"Kate Winslet, Julia Roberts, Ryan Gosling","star-crossed lovers, secret crush, second chance, relationship","In this mysterious tale, a main protagonist uncovers a mysterious artifact that threatens to change everything they know.",60,2019,marcwebb,katewinslet juliaroberts ryangosling,star-crossedlovers secretcrush secondchance relationship,romance,"romance marcwebb katewinslet juliaroberts ryangosling star-crossedlovers secretcrush secondchance relationship in this mysterious tale, a main protagonist uncovers a mysterious artifact that threatens to change everything they know."
Hearts in Symphony,Romance Action Adventure,Marc Webb,"Rachel McAdams, Leonardo DiCaprio, Ryan Gosling","relationship, second chance, love story, destiny","In this unforgettable tale, a main protagonist travels to a forbidden romance that threatens to change everything they know.",61,2005,marcwebb,rachelmcadams leonardodicaprio ryangosling,relationship secondchance lovestory destiny,romance action adventure,"romance action adventure marcwebb rachelmcadams leonardodicaprio ryangosling relationship secondchance lovestory destiny in this unforgettable tale, a main protagonist travels to a forbidden romance that threatens to change everything they know."
The Dimension Equation,Sci-Fi Adventure,James Cameron,"Ryan Gosling, Mark Hamill, Matthew McConaughey","dystopia, simulation, space travel, time travel","In this breathtaking tale, a main protagonist escapes from a secret agent that threatens to change everything they know.",62,1985,jamescameron,ryangosling markhamill matthewmcconaughey,dystopia simulation spacetravel timetravel,sci-fi adventure,"sci-fi adventure jamescameron ryangosling markhamill matthewmcconaughey dystopia simulation spacetravel timetravel in this breathtaking tale, a main protagonist escapes from a secret agent that threatens to change everything they know."
Chasing Paris,Comedy,Adam McKay,"Ryan Reynolds, Will Ferrell, Paul Rudd","buddy road trip, misunderstanding, high school, parody","In this futuristic tale, a main protagonist escapes from their deepest fears that threatens to change everything they know.",63,1998,adammckay,ryanreynolds willferrell paulrudd,buddyroadtrip misunderstanding highschool parody,comedy,"comedy adammckay ryanreynolds willferrell paulrudd buddyroadtrip misunderstanding highschool parody in this futuristic tale, a main protagonist escapes from their deepest fears that threatens to change everything they know."
Return of the High School,Fantasy,David Yates,"Elijah Wood, Emma Watson, Viggo Mortensen","magic, wizards, dragons, mythology","In this unforgettable tale, a main protagonist navigates a mysterious artifact that threatens to change everything they know.",64,1994,davidyates,elijahwood emmawatson viggomortensen,magic wizards dragons mythology,fantasy,"fantasy davidyates elijahwood emmawatson viggomortensen magic wizards dragons mythology in this unforgettable tale, a main protagonist navigates a mysterious artifact that threatens to change everything they know."
Diary of a Pharaoh,Drama Horror Thriller,Quentin Tarantino,"Tim Robbins, Robert De Niro, Meryl Streep","historical events, mental illness, ambition, hope","In this dangerous tale, a main protagonist navigates their deepest fears that threatens to change everything they know.",65,1986,quentintarantino,timrobbins robertdeniro merylstreep,historicalevents mentalillness ambition hope,drama horror thriller,"drama horror thriller quentintarantino timrobbins robertdeniro merylstreep historicalevents mentalillness ambition hope in this dangerous tale, a main protagonist navigates their deepest fears that threatens to change everything they know."
Tales of Empire,Fantasy,Peter Jackson,"Orlando Bloom, Daniel Radcliffe, Johnny Depp","mythology, dragons, alternate realm, magic","In this gripping tale, a main protagonist uncovers a mysterious artifact that threatens to change everything they know.",66,2018,peterjackson,orlandobloom danielradcliffe johnnydepp,mythology dragons alternaterealm magic,fantasy,"fantasy peterjackson orlandobloom danielradcliffe johnnydepp mythology dragons alternaterealm magic in this gripping tale, a main protagonist uncovers a mysterious artifact that threatens to change everything they know."
Secrets of the Paris,Mystery,Rian Johnson,"Christian Bale, Jake Gyllenhaal, Robert Downey Jr.","twist ending, secret identity, puzzle, murder mystery","In this dangerous tale, a main protagonist uncovers a hidden empire that threatens to change everything they know.",67,2012,rianjohnson,christianbale jakegyllenhaal robertdowneyjr.,twistending secretidentity puzzle murdermystery,mystery,"mystery rianjohnson christianbale jakegyllenhaal robertdowneyjr. twistending secretidentity puzzle murdermystery in this dangerous tale, a main protagonist uncovers a hidden empire that threatens to change everything they know."
The Paris Syndicate,Crime,Independent Director,"Actor Alpha, Actor Beta","story, movie","In this breathtaking tale, a main protagonist investigates a secret agent that threatens to change everything they know.",68,1986,independentdirector,actoralpha actorbeta,story movie,crime,"crime independentdirector actoralpha actorbeta story movie in this breathtaking tale, a main protagonist investigates a secret agent that threatens to change everything they know."
Diary of a Haunting,Drama Action,Martin Scorsese,"Joaquin Phoenix, Kate Winslet, Meryl Streep","ambition, tragedy, mental illness, betrayal","In this gripping tale, a main protagonist escapes from a digital virtual world that threatens to change everything they know.",69,2013,martinscorsese,joaquinphoenix katewinslet merylstreep,ambition tragedy mentalillness betrayal,drama action,"drama action martinscorsese joaquinphoenix katewinslet merylstreep ambition tragedy mentalillness betrayal in this gripping tale, a main protagonist escapes from a digital virtual world that threatens to change everything they know."
Chasing Artifact,Comedy Action Fantasy,Edgar Wright,"Paul Rudd, Jonah Hill, Jim Carrey","slapstick, misunderstanding, buddy road trip, high school","In this haunting tale, a main protagonist discovers a post-apocalyptic wasteland that threatens to change everything they know.",70,2003,edgarwright,paulrudd jonahhill jimcarrey,slapstick misunderstanding buddyroadtrip highschool,comedy action fantasy,"comedy action fantasy edgarwright paulrudd jonahhill jimcarrey slapstick misunderstanding buddyroadtrip highschool in this haunting tale, a main protagonist discovers a post-apocalyptic wasteland that threatens to change everything they know."
